,price
category_Shaving,-0.021091818204652682
brand_HUDA BEAUTY,-0.021229815524991882
brand_Lilly Lashes,-0.02127412483289631
brand_Wander Beauty,-0.021796558284414486
brand_TWEEZERMAN,-0.02190794163720233
category_Blotting,-0.022309367103792138
brand_Qhemet Biologics,-0.022395171292577152
brand_Cinema Secrets,-0.022560899697197236
category_Eyelash,-0.022606894127592054
brand_ALTERNA Haircare,-0.02317431938075793
brand_BECCA,-0.023529660473789824
brand_Deborah Lippmann,-0.0235533965092265
brand_Origins,-0.02357898587252588
category_For,-0.02369062466026432
brand_Kopari,-0.023747563181071768
brand_Sol de Janeiro,-0.023888356255623355
brand_Virtue,-0.023985292806942598
brand_Jouer Cosmetics,-0.024014176888083133
brand_Mizani,-0.024159291386805143
category_Bronzer,-0.02431846788378189
brand_Ciaté London,-0.024598406346411115
brand_Klorane,-0.024631959753069282
brand_St. Tropez,-0.024677319511702624
brand_Laura Mercier,-0.024695774486117605
brand_Rosebud Perfume Co.,-0.024905011421796658
brand_Kérastase,-0.025119058948049493
category_Mirrors,-0.025225354924643156
brand_HUM Nutrition,-0.026022360192152982
brand_Kitsch,-0.02614428494074035
brand_NARS,-0.027027886062960693
brand_OUAI,-0.027460936211057455
brand_First Aid Beauty,-0.027558102305091006
brand_Seed Phytonutrients,-0.028227120678521764
brand_Kaja,-0.028324823754234854
category_Deodorant,-0.028514913568069473
category_Leave-In,-0.028864942800984478
brand_VOLUSPA,-0.02914851475353673
brand_Supergoop!,-0.02929877218400274
brand_IGK,-0.03051177875466949
brand_LANEIGE,-0.030820724835035365
category_Hand,-0.03112388516307243
brand_IT Cosmetics,-0.031243668394926764
brand_beautyblender,-0.03132276221562963
brand_Jack Black,-0.03152195065392341
brand_Marvis,-0.0331010166075207
brand_Briogeo,-0.03334078113382262
category_Setting,-0.03396253136911165
category_Body,-0.03457847625224263
brand_Smashbox,-0.03634183695351269
category_Sheet,-0.03634825838401097
category_Blush,-0.03647326183776136
brand_innisfree,-0.036646115555978964
brand_Moroccanoil,-0.03703403476586426
brand_NAILS INC.,-0.03731901737511548
brand_Kiehl's Since 1851,-0.03792146016332833
brand_Mario Badescu,-0.037972782236718176
brand_FENTY BEAUTY by Rihanna,-0.03842600427189779
category_Dry,-0.038665888150080895
category_Highlighter,-0.038705712278255845
brand_Too Faced,-0.03892829963899799
category_Toners,-0.03959486887988189
brand_Dr. Jart+,-0.04033141061064266
brand_Verb,-0.04110923203213206
brand_KVD Vegan Beauty,-0.041381610612013696
brand_bareMinerals,-0.04156273244849428
brand_INC.redible,-0.041980473890387775
brand_MAKE UP FOR EVER,-0.04200792130572386
category_Hair,-0.04323135107439615
category_Concealer,-0.04372710217467443
brand_Urban Decay,-0.04374036904164447
category_Eyeshadow,-0.04434221849798205
brand_Anastasia Beverly Hills,-0.04458152546238537
brand_MILK MAKEUP,-0.04627558896352241
category_Sponges,-0.04641575767845985
category_Nail,-0.047373728726111466
category_Rollerballs,-0.04781290695499862
category_Skincare,-0.04829239652470257
brand_Bumble and bumble,-0.04840721430741075
category_False,-0.04854402491052542
brand_Living Proof,-0.049954022836931455
brand_The INKEY List,-0.051000085970192816
brand_Benefit Cosmetics,-0.05432799459035546
category_Conditioner,-0.05508709884143554
MarketingFlags,-0.056920238665524786
category_Eyebrow,-0.058093606022315045
brand_The Ordinary,-0.058406407880578694
category_Lipstick,-0.060295117634273296
category_Mini,-0.062073758554294325
category_Mascara,-0.06216374038307771
category_Eyeliner,-0.06587137712570136
category_Shampoo,-0.06629358615814886
brand_CLINIQUE,-0.068517820068872
brand_tarte,-0.06999375901689342
category_Makeup,-0.08043324779574539
number_of_reviews,-0.08400113369153918
love,-0.08872415278245915
category_Lip,-0.10611256742232208
brand_SEPHORA COLLECTION,-0.1608520105839184
exclusive,-0.17880856745596563
